utc_unixtimestamp,donation_id,donation_amount
1437917044,170751,50.00
1437916991,170739,10.00
1437916952,170733,5.00
1437916930,170726,200.00
1437916928,170725,30.00
1437916895,170720,20.00
1437916889,170719,200.00
1437916853,170714,5.00
1437916847,170713,1.00
1437916821,170709,10.00
1437916760,170702,10.00
1437916749,170700,50.00
1437916668,170696,5.00
1437916658,170695,20.00
1437916447,170680,5.00
1437916270,170665,30.00
1437916221,170658,3.00
1437916128,170655,10.00
1437916112,170651,20.00
1437915848,170643,50.00
1437914338,170621,25.00
1437913361,170615,100.00
1437911659,170609,20.00
1437906620,170608,1.00
1437884284,170604,5.00
1437871843,170602,10.00
1437871345,170601,5.00
1437795492,170599,5.00
1435378251,170594,5.00
1438720641,207608,10.00
1438694458,207605,30.00
1438691330,207603,5.00
1438682831,207601,20.00
1438661638,207599,20.00
1438595101,207597,50.00
1438567647,207593,5.00
1438545040,207589,13.00
1438539389,207586,5.00
1438537103,207585,20.00
1438534850,207584,5.00
1438534172,207583,100.00
1438532365,207580,30.00
1438529925,207578,20.00
1438525910,207577,10.00
1438525375,207576,200.00
1438524251,207575,30.00
1438521262,207574,15.00
1438520799,207573,1.00
1438520329,207572,5.00
1438519048,207570,25.00
1438518274,207569,100.00
1438515882,207568,25.00
1438515019,207567,10.00
1438513466,207566,2.00
1438512485,207565,10.00
1438511998,207564,100.00
1438511686,207563,100.00
1438506712,207560,20.00
1438503366,207558,10.00
1438502505,207557,30.00
1438501926,207556,10.00
1438500146,207555,50.00
1438499946,207554,20.01
1438497805,207553,20.00
1438495155,207550,50.00
1438492744,207547,150.00
1438492348,207546,50.00
1438491315,207544,15.00
1438490391,207542,10.00
1438489908,207541,25.00
1438489725,207540,10.00
1438489244,207538,100.00
1438487451,207536,30.00
1438486935,207526,10.00
1438486916,207525,50.00
1438486871,207524,15.00
1438486857,207523,7.00
1438486854,207522,50.00
1438486837,207521,100.00
1438486795,207517,20.00
1438486784,207515,1.00
1438486769,207513,10.00
1438486769,207512,20.00
1438486718,207509,50.00
1438486676,207507,50.00
1438486645,207505,50.00
1438486641,207503,50.00
1438486630,207502,20.00
1438486596,207501,100.00
1438486577,207500,5.00
1438486575,207499,35.00
1438486522,207497,10.00
1438486489,207495,10.00
1438486475,207494,0.01
1438486455,207493,20.00
1438486406,207492,15.00
1438486279,207489,20.00
1438486248,207487,50.00
1438486205,207486,5.00
1438486181,207485,50.00
1438486147,207484,1.01
1438486107,207483,20.00
1438486000,207480,11.11
1438485992,207478,50.00
1438485989,207477,15.00
1438485952,207475,50.00
1438485950,207474,30.00
1438485921,207473,5.00
1438485919,207472,20.00
1438485888,207470,50.00
1438485873,207469,100.00
1438485856,207468,2.50
1438485807,207466,15.00
1438485796,207465,20.00
1438485743,207464,3.00
1438485743,207463,30.00
1438485733,207462,20.00
1438485731,207461,30.00
1438485668,207460,20.00
1438485666,207459,10.00
1438485649,207458,50.00
1438485642,207457,30.00
1438485566,207454,20.00
1438485561,207453,20.00
1438485538,207451,30.00
1438485533,207449,100.00
1438485502,207447,30.00
1438485495,207446,50.00
1438485430,207444,50.00
1438485425,207442,50.00
1438485389,207440,50.00
1438485371,207439,15.00
1438485354,207438,50.00
1438485333,207437,30.00
1438485325,207436,10.00
1438485325,207435,20.00
1438485320,207434,50.00
1438485295,207432,50.00
1438485240,207429,100.00
1438485213,207428,50.00
1438485199,207427,5.00
1438485196,207426,50.00
1438485194,207425,50.00
1438485164,207424,5.00
1438485158,207423,5.00
1438485140,207421,30.00
1438485135,207420,20.00
1438485132,207419,50.00
1438485122,207418,50.00
1438485114,207417,20.00
1438485102,207416,50.00
1438485087,207415,5.00
1438485078,207414,13.00
1438485075,207413,30.00
1438485070,207412,3.50
1438485060,207411,30.00
1438485059,207410,25.00
1438485056,207409,100.00
1438485053,207408,100.00
1438485051,207407,50.00
1438485046,207406,5.00
1438485031,207405,5.00
1438485017,207404,30.00
1438485015,207403,10.00
1438485012,207402,5.00
1438485011,207401,100.00
1438484997,207399,5.00
1438484972,207398,20.00
1438484959,207397,50.00
1438484953,207396,30.00
1438484939,207395,10.00
1438484935,207393,10.00
1438484917,207392,50.00
1438484913,207391,10.00
1438484904,207390,25.00
1438484901,207389,50.00
1438484885,207388,50.00
1438484878,207387,50.00
1438484855,207385,10.00
