utc_unixtimestamp,donation_id,donation_amount
1468116394,287590,30.00
1468116389,287589,20.00
1468116388,287588,50.00
1468116388,287587,10.00
1468116385,287586,5.00
1468116384,287585,25.00
1468116380,287583,10.00
1468116379,287582,50.00
1468116377,287579,20.00
1468116376,287577,5.00
1468116375,287576,10.00
1468116373,287575,100.00
1468116366,287574,25.00
1468116363,287571,50.00
1468116362,287569,10.01
1468116361,287568,10.00
1468116361,287567,20.00
1468116360,287566,50.00
1468116352,287563,5.50
1468116351,287562,200.00
1468116349,287561,20.00
1468116345,287558,50.00
1468116345,287557,10.00
1468116344,287556,50.00
1468116343,287555,5.00
1468116343,287554,50.00
1468116343,287553,100.00
1468116341,287551,20.00
1468116337,287550,20.00
1468116335,287548,25.00
1468116335,287547,50.00
1468116333,287545,20.00
1468116332,287544,5.00
1468116332,287543,5.00
1468116332,287542,50.00
1468116331,287541,100.00
1468116328,287540,10.00
1468116327,287539,50.00
1468116327,287538,5.00
1468116325,287537,20.00
1468116324,287536,20.00
1468116323,287535,50.00
1468116322,287534,50.00
1468116320,287533,50.00
1468116319,287531,20.00
1468116318,287530,7.45
1468116317,287529,5.00
1468116315,287528,10.00
1468116313,287527,5.00
1468116312,287526,500.00
1468116312,287525,5.00
1468116307,287523,10.00
1468116306,287522,350.00
1468116305,287521,5.00
1468116300,287517,150.00
1468116299,287516,200.00
1468116299,287515,5.00
1468116297,287514,10.00
1468116297,287513,10.00
1468116296,287512,100.00
1468116295,287511,20.00
1468116292,287510,5.69
1468116291,287509,50.00
1468116283,287508,15.00
1468116283,287507,50.00
1468116281,287506,50.00
1468116280,287504,15.00
1468116277,287501,50.00
1468116274,287500,50.00
1468116274,287499,5.00
1468116272,287498,50.00
1468116270,287497,50.00
1468116268,287496,500.00
1468116266,287495,50.00
1468116265,287494,50.00
1468116265,287493,20.00
1468116264,287492,15.00
1468116264,287491,640.00
1468116263,287490,25.00
1468116261,287489,5.00
1468116260,287488,25.00
1468116257,287487,5.00
1468116257,287486,10.00
1468116253,287485,50.00
1468116249,287483,25.00
1468116243,287480,10.00
1468116243,287479,200.00
1468116243,287478,25.00
1468116241,287477,20.00
1468116241,287476,5.02
1468116239,287474,120.00
1468116238,287473,20.00
1468116232,287469,15.00
1468116230,287467,15.00
1468116229,287466,15.00
1468116226,287465,11.11
1468116226,287464,10.00
1468116225,287463,100.00
1468116223,287461,20.00
1468116222,287460,5.00
1468116218,287459,10.00
1468116214,287458,25.00
1468116211,287457,10.00
1468116204,287456,10.00
1468116204,287455,5.00
1468116202,287454,20.00
1468116194,287453,5.00
1468116188,287449,15.00
1468116188,287448,50.00
1468116187,287446,1024.00
1468116186,287445,5.00
1468116181,287443,50.00
1468116178,287442,10.00
1468116178,287441,10.00
1468116178,287440,10.00
1468116176,287439,64.00
1468116175,287438,5.00
1468116171,287436,500.00
1468116169,287435,100.00
1468116169,287434,15.00
1468116168,287433,5.00
1468116167,287432,10.00
1468116166,287431,500.00
1468116165,287430,20.00
1468116164,287429,20.00
1468116160,287428,5.00
1468116159,287426,50.00
1468116159,287427,25.00
1468116158,287425,5.00
1468116158,287424,25.00
1468116157,287423,15.00
1468116153,287421,10.00
1468116150,287420,50.00
1468116150,287419,15.00
1468116146,287417,1000.00
1468116146,287416,5.00
1468116144,287415,15.00
1468116144,287414,20.00
1468116143,287413,25.00
1468116137,287412,15.00
1468116134,287411,50.00
1468116130,287410,5.00
1468116129,287409,5.55
1468116125,287406,50.00
1468116122,287405,50.00
1468116121,287404,10.00
1468116120,287402,5.54
1468116120,287401,10.00
1468116118,287400,100.00
1468116118,287399,540.00
1468116117,287397,20.00
1468116115,287396,100.00
1468116115,287395,10.00
1468116109,287394,100.00
1468116107,287393,100.00
1468116107,287392,30.00
1468116106,287391,20.00
1468116103,287389,20.00
1468116100,287387,5.00
1468116096,287386,25.00
1468116089,287385,5.00
1468116088,287384,20.00
1468116088,287383,10.00
1468116086,287382,5.00
1468116086,287381,25.00
1468116085,287380,20.00
1468116084,287379,10.00
1468116084,287378,10.00
1468116083,287377,5.40
1468116082,287376,5.00
1468116080,287374,100.00
1468116080,287373,200.00
1468116077,287371,20.00
1468116072,287370,10.00
1468116069,287369,5.00
1468116068,287368,10.00
1468116068,287367,50.00
1468116067,287366,50.00
1468116066,287365,5.00
1468116066,287364,10.00
1468116065,287363,5.00
1468116063,287362,5.00
1468116062,287361,50.00
1468116062,287360,10.00
1468116061,287358,20.00
1468116052,287352,20.00
1468116049,287348,11.11
1468116047,287346,20.00
1468116044,287345,5.00
1468116044,287344,50.00
1468116043,287343,50.00
1468116042,287342,20.00
1468116042,287341,50.00
1468116041,287340,50.00
1468116038,287339,20.00
1468116038,287338,10.00
1468116036,287337,15.00
1468116029,287334,25.00
1468116029,287333,10.00
1468116028,287332,25.00
1468116025,287330,25.00
1468116023,287329,50.00
1468116023,287328,5.00
1468116020,287327,5.00
1468116019,287326,5.00
1468116019,287325,5.00
1468116018,287324,15.00
1468116017,287322,20.00
1468116012,287320,20.00
1468116011,287319,100.00
1468116011,287318,5.00
1468116011,287317,10.00
1468116008,287316,10.00
1468116005,287314,5.00
1468116005,287313,10.00
1468116000,287312,100.00
1468115998,287311,50.00
1468115995,287310,10.00
1468115994,287309,15.00
1468115994,287308,60.00
1468115993,287307,50.00
1468115990,287306,25.00
1468115990,287305,10.00
1468115980,287303,10.00
1468115979,287302,5.00
1468115976,287299,5.00
1468115976,287298,11.00
1468115972,287297,10.00
1468115971,287296,20.00
1468115968,287295,15.00
1468115966,287294,50.00
1468115965,287292,5.00
1468115960,287291,25.00
1468115958,287290,15.15
1468115952,287288,5.85
1468115951,287287,200.00
1468115949,287286,5.00
1468115946,287284,10.00
1468115946,287283,10.00
1468115945,287282,5.00
1468115944,287281,50.00
1468115944,287280,15.00
1468115944,287279,10.00
1468115942,287277,100.00
1468115939,287276,5.00
1468115939,287275,80.00
1468115937,287274,100.00
1468115936,287273,20.00
1468115935,287272,150.00
1468115928,287270,20.00
1468115926,287269,10.00
1468115925,287268,10.00
1468115924,287267,10.00
1468115922,287266,5.00
1468115920,287265,50.00
1468115920,287264,50.00
1468115915,287263,10.00
1468115910,287262,20.00
1468115907,287260,5.40
1468115904,287257,50.00
1468115901,287256,5.00
1468115901,287255,250.00
1468115896,287253,100.00
1468115895,287252,5.00
1468115893,287251,55.55
1468115890,287250,100.00
1468115888,287248,250.00
1468115884,287246,20.00
1468115869,287245,250.00
1468115852,287243,20.00
1468115850,287242,15.00
1468115849,287241,50.00
1468115848,287240,10.00
1468115846,287239,10.00
1468115846,287238,15.00
1468115844,287237,5.00
1468115843,287236,11.00
1468115843,287235,5.00
1468115842,287234,25.00
1468115842,287233,28.50
1468115834,287231,25.00
1468115832,287230,20.00
1468115829,287229,10.00
1468115829,287228,50.00
1468115826,287227,100.00
1468115824,287226,300.00
1468115817,287224,20.00
1468115816,287223,50.00
1468115815,287222,20.00
1468115811,287221,5.00
