utc_unixtimestamp,donation_id,donation_amount
1374761292,22740,20.00
1374761220,22737,10.00
1374761180,22736,10.00
1374761168,22734,10.00
1374761086,22732,10.00
1374761051,22731,20.00
1374760718,22729,10.00
1374758893,22719,50.00
1374758787,22718,13.00
1374757760,22712,3.00
1374756933,22709,1.00
1374756710,22708,80.00
1374755359,22707,2.00
1374754458,22705,502.00
1374753768,22703,4.34
1374751674,22698,10.00
1374749529,22695,5.00
1374745149,22690,10.00
1374743894,22689,20.00
1374738178,22684,100.00
1374728678,22683,15.00
1374717661,22677,5.00
1374704173,22674,50.00
1374695225,22670,2.66
1374686010,22666,5.00
1374685535,22665,36.00
1374685314,22664,100.00
1374643820,22659,15.00
1374534924,22658,1.00
1373546916,22653,1.00
1373483888,22652,20.00
1376476409,38020,1500.00
1375673351,38014,10.00
1375358933,38004,10.00
1375304994,37998,20.00
1375303563,37996,20.00
1375297657,37995,5.00
1375291486,37994,20.00
1375289918,37992,35.00
1375289918,37991,30.31
1375289910,37990,30.31
1375289852,37988,30.31
1375287391,37987,20.00
1375286230,37986,10.00
1375282022,37983,30.00
1375277134,37982,1.00
1375270402,37981,10.00
1375266116,37979,5.00
1375265796,37978,20.00
1375257544,37975,50.00
1375255330,37973,3.60
1375250759,37971,10.00
1375249301,37969,2.50
1375249147,37968,20.00
1375241785,37964,5.00
1375239123,37962,16.67
1375238566,37961,10.00
1375238507,37960,10.00
1375238449,37959,10.00
1375238027,37958,10.00
1375236731,37957,20.00
1375229168,37955,24.55
1375228741,37950,5.00
1375223486,37946,5.00
1375222825,37945,10.00
1375221921,37944,20.00
1375221910,37943,50.00
1375221460,37942,10.00
1375221195,37941,500.00
1375219822,37939,10.00
1375219381,37938,20.00
1375216841,37937,1.00
1375216819,37936,1.00
1375216608,37935,10.00
1375216319,37934,5.00
1375215827,37932,50.00
1375214882,37930,5.00
1375214757,37929,2.00
1375213868,37928,10.00
1375213684,37925,1.00
1375213656,37924,10.00
1375213515,37923,10.00
1375212926,37922,50.00
1375212843,37921,10.00
1375212676,37920,15.00
1375212506,37919,40.00
1375209863,37917,3.00
1375209829,37916,5.00
1375208585,37911,20.00
1375208581,37910,5.00
1375208440,37909,1.00
1375208195,37906,5.00
1375208174,37905,5.00
1375208090,37904,5.00
1375208027,37901,15.00
1375208020,37900,1.00
1375207986,37899,10.00
1375207983,37898,5.00
1375207920,37897,10.00
1375207919,37896,40.00
1375207859,37895,5.00
1375207853,37894,10.00
1375207849,37893,5.77
1375207837,37892,5.00
1375207830,37891,1.00
1375207825,37890,5.00
1375207694,37888,10.00
1375207655,37886,5.00
1375207592,37884,20.00
1375207589,37883,10.00
1375207563,37882,10.00
1375207522,37881,5.00
1375207429,37878,5.00
1375207389,37877,5.00
1375207372,37876,5.00
1375207264,37873,1.25
1375207245,37872,5.00
1375207240,37871,0.69
1375207211,37870,10.00
1375207018,37869,10.00
1375207012,37868,10.00
1375206980,37867,10.00
1375205788,37865,2.00
1375205347,37864,25.00
1375204710,37861,5.00
1375204269,37860,1.23
1375203937,37858,10.00
1375202422,37857,10.00
1375202210,37854,75.00
1375202186,37853,10.00
1375202151,37852,5.00
1375202048,37851,10.00
1375202003,37850,3.79
1375201577,37847,5.00
1375201453,37846,20.00
1375200848,37842,20.00
1375200783,37841,2.00
1375200329,37839,10.00
1375197947,37838,2.00
1375196648,37836,5.00
1375193185,37833,5.00
1375191289,37830,10.00
1375190628,37829,25.00
1375188984,37827,20.00
1375188296,37826,20.00
1375188198,37823,5.00
1375185399,37820,20.00
1375185238,37819,20.00
1375185042,37818,5.00
1375184798,37816,10.00
1375167496,37810,20.00
1375165954,37809,25.00
1375157885,37807,20.00
1375157793,37806,250.00
1375157650,37805,10.00
1375157435,37803,20.00
1375156177,37800,30.00
1375156131,37799,20.00
1375155769,37796,20.00
1375155755,37795,10.00
1375155719,37794,10.00
1375155452,37793,10.00
1375155403,37792,5.00
1375154986,37789,5.00
1375154930,37788,50.00
1375154870,37787,20.00
1375154714,37785,20.00
1375154701,37784,20.00
1375154614,37783,10.00
1375154572,37782,30.00
1375154546,37781,1.00
1375154418,37780,35.00
1375154264,37779,20.00
1375153969,37778,20.00
1375153754,37776,25.00
1375153736,37773,50.00
1375153343,37753,20.00
1375153342,37751,10.00
1375153332,37745,20.00
1375153331,37744,10.00
1375153330,37743,10.00
1375153200,37727,25.00
1375153200,37726,50.00
1375153198,37725,10.00
1375153197,37724,20.00
1375153196,37723,25.00
1375153194,37721,8.93
1375153191,37720,5.00
1375153189,37719,30.00
1375153185,37717,20.00
1375153180,37716,20.00
1375153169,37714,1.00
1375153168,37713,15.00
1375153166,37712,15.00
1375153160,37710,20.00
1375153146,37708,1.00
1375153142,37704,20.00
1375153142,37705,10.00
1375153141,37702,50.00
1375153140,37701,10.00
1375153136,37698,10.00
1375153131,37696,20.00
1375153115,37694,20.00
1375153115,37693,20.00
1375153111,37692,20.00
1375153110,37691,20.00
1375153109,37690,40.00
1375153103,37689,29.00
1375153102,37688,20.00
1375153101,37687,30.00
1375153098,37684,5.00
1375153098,37685,5.00
1375153092,37682,20.00
1375153089,37680,10.00
1375153089,37678,20.00
1375153088,37677,20.00
1375153088,37676,10.00
1375153088,37675,50.00
1375153086,37673,5.00
1375153086,37674,20.00
1375153085,37672,20.00
1375153085,37671,30.00
1375153084,37670,50.00
1375153078,37669,10.00
1375153076,37668,100.00
1375153075,37666,20.00
1375153070,37664,40.00
1375153070,37663,35.00
1375153068,37660,10.00
1375153067,37659,5.00
1375153066,37658,5.00
